user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	aa_percent	translation_table	red_value	warnings
ERR260137_bin.9.p	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	GCF_000469305.1	95	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	98.62	0.94	GCF_000469305.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__Faecalitalea cylindroides	98.62	0.94	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	55.24	11	N/A	N/A
ERR260137_bin.21.p	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium sp003024675	GCF_003024675.1	95	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium sp003024675	99.15	0.98	GCF_003024675.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium sp003024675	99.15	0.98	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_000752095.2, s__Erysipelatoclostridium sp000752095, 95.0, 90.07, 0.91; GCF_002160495.1, s__Erysipelatoclostridium sp002160495, 95.0, 78.51, 0.42"	74.98	11	N/A	N/A
ERR260137_bin.8.p	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	GCF_000154205.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.99	0.99	GCF_000154205.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	98.99	0.99	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	60.81	11	N/A	N/A
ERR260137_bin.15.p	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B dorei	GCF_000156075.1	95.35	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B dorei	99.24	0.95	GCF_000156075.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__Bacteroides_B dorei	99.24	0.95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_000012825.1, s__Bacteroides_B vulgatus, 95.35, 95.64, 0.87; GCA_000614185.1, s__Bacteroides_B sartorii, 95.0, 89.88, 0.75; GCF_000382445.1, s__Bacteroides_B massiliensis, 95.0, 81.11, 0.4; GCA_002493165.1, s__Bacteroides_B sp002493165, 95.0, 80.0, 0.37"	85.62	11	N/A	N/A
ERR260137_bin.18.p	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp001701165	GCA_001701165.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp001701165	98	0.91	GCA_001701165.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp001701165	98	0.91	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCA_002478045.1, s__CAG-873 sp002478045, 95.0, 83.72, 0.74"	45.4	11	N/A	N/A
ERR260137_bin.19.s	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000433355	GCA_000433355.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000433355	96.66	0.7	GCA_000433355.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__RC9 sp000433355	96.66	0.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	35.63	11	N/A	N/A
ERR260137_bin.3.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	N/A	N/A	N/A	N/A	N/A	GCA_000431535.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000431535	80.35	0.55	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__	Placement	taxonomic classification fully defined by topology	"GCA_000433975.1, s__Eubacterium_R sp000433975, 95.0, 78.02, 0.28"	79.31	11	0.976126121	N/A
ERR260137_bin.6.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__	Placement	taxonomic classification fully defined by topology	"GCF_000154325.1, s__Ruminiclostridium_E siraeum, 95.0, 92.37, 0.81; GCA_003512525.1, s__Ruminiclostridium_E sp003512525, 95.0, 89.02, 0.78; GCA_002437415.1, s__Ruminiclostridium_E sp002437415, 95.0, 86.73, 0.79"	93.31	11	0.990120744	N/A
ERR260137_bin.22.s	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__	N/A	N/A	N/A	N/A	N/A	GCA_002314255.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__Faecalicatena sp002314255	84.34	0.66	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalicatena;s__	Placement	taxonomic classification fully defined by topology	"GCF_002161355.1, s__Faecalicatena sp002161355, 95.0, 80.1, 0.41; GCF_002159505.1, s__Faecalicatena sp002159505, 95.0, 79.91, 0.36; GCF_002160525.1, s__Faecalicatena sp002160525, 95.0, 79.26, 0.39; GCF_900120155.1, s__Faecalicatena sp900120155, 95.0, 78.92, 0.27"	82.3	11	0.982179664	N/A
ERR260137_bin.4.o	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-460;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-460;s__	Placement	taxonomic classification fully defined by topology	"GCA_000437355.1, s__CAG-460 sp000437355, 95.0, 78.52, 0.38; GCA_000438075.1, s__CAG-460 sp000438075, 95.0, 78.09, 0.31"	70.5	11	0.919818007	N/A
ERR260137_bin.17.s	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma;s__	N/A	N/A	N/A	N/A	N/A	GCF_000333815.1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma;s__Enorma massiliensis_A	83.44	0.7	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma;s__	Placement	taxonomic classification fully defined by topology	"GCF_000311845.1, s__Enorma massiliensis, 95.0, 80.73, 0.52; GCF_900186505.1, s__Enorma phocaeensis, 95.0, 80.52, 0.49"	50.85	11	0.971463664	N/A
ERR260138_bin.21.p	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	GCF_000016525.1	95	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	98.09	0.93	GCF_000016525.1	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	98.09	0.93	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_002252585.1, s__Methanobrevibacter_A smithii_A, 95.0, 93.08, 0.92; GCA_003111605.1, s__Methanobrevibacter_A woesei, 95.0, 80.32, 0.53; GCF_001548675.1, s__Methanobrevibacter_A sp001548675, 95.0, 79.74, 0.37; GCF_001639275.1, s__Methanobrevibacter_A oralis, 95.0, 79.66, 0.51; GCF_900109595.1, s__Methanobrevibacter_A gottschalkii, 95.0, 79.63, 0.46; GCA_900314695.1, s__Methanobrevibacter_A sp900314695, 95.0, 79.56, 0.41; GCA_003111625.1, s__Methanobrevibacter_A thaueri, 95.0, 79.5, 0.28; GCF_001477655.1, s__Methanobrevibacter_A millerae, 95.0, 79.36, 0.45; GCA_900319535.1, s__Methanobrevibacter_A sp900319535, 95.0, 79.29, 0.39; GCA_900317865.1, s__Methanobrevibacter_A sp900317865, 95.0, 79.06, 0.41; GCA_900314615.1, s__Methanobrevibacter_A sp900314615, 95.0, 78.98, 0.39; GCA_900316895.1, s__Methanobrevibacter_A sp900316895, 95.0, 78.88, 0.29; GCA_900318035.1, s__Methanobrevibacter_A sp900318035, 95.0, 78.87, 0.33; GCA_900319985.1, s__Methanobrevibacter_A sp900319985, 95.0, 78.81, 0.34; GCA_900313645.1, s__Methanobrevibacter_A sp900313645, 95.0, 78.65, 0.37; GCA_900320515.1, s__Methanobrevibacter_A sp900320515, 95.0, 78.64, 0.25; GCA_002496065.1, s__Methanobrevibacter_A sp002496065, 95.0, 78.61, 0.38; GCA_900320955.1, s__Methanobrevibacter_A sp900320955, 95.0, 78.61, 0.3"	98.2	11	N/A	N/A
ERR260138_bin.25.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	GCA_003526955.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	98.4	0.86	GCA_003526955.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp003526955	98.4	0.86	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_002834235.1, s__Ruminococcus_E bromii_B, 95.0, 80.33, 0.36; GCF_002834225.1, s__Ruminococcus_E bromii, 95.0, 80.07, 0.39; GCA_003521625.1, s__Ruminococcus_E sp003521625, 95.0, 78.99, 0.33; GCF_900101355.1, s__Ruminococcus_E bromii_A, 95.0, 78.72, 0.25; GCA_002491825.1, s__Ruminococcus_E sp002491825, 95.0, 78.67, 0.36; GCA_002493005.1, s__Ruminococcus_E sp002493005, 95.0, 78.45, 0.31; GCA_002493635.1, s__Ruminococcus_E sp002493635, 95.0, 78.42, 0.29"	95.36	11	N/A	N/A
ERR260138_bin.19.s	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__UBA1417 sp003531055	GCA_003531055.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__UBA1417 sp003531055	97.72	0.79	GCA_003531055.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__UBA1417 sp003531055	97.72	0.79	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1417;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	65.75	11	N/A	N/A
ERR260138_bin.18.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825	GCA_003476825.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825	98.45	0.79	GCA_003476825.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp003476825	98.45	0.79	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCF_900167555.1, s__Gemmiger formicilis, 95.0, 79.98, 0.46; GCF_000157955.1, s__Gemmiger variabile, 95.0, 79.4, 0.39; GCA_002306375.1, s__Gemmiger sp002306375, 95.0, 79.23, 0.4"	92.18	11	N/A	N/A
ERR260138_bin.13.s	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp000431575	GCA_000431575.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp000431575	97.9	0.84	GCA_000431575.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__CAG-83 sp000431575	97.9	0.84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-83;s__	ANI/Placement	topological placement and ANI have congruent species assignments	"GCA_001916855.1, s__CAG-83 sp001916855, 95.0, 83.63, 0.56; GCA_000435975.1, s__CAG-83 sp000435975, 95.0, 83.32, 0.62; GCA_003487665.1, s__CAG-83 sp003487665, 95.0, 81.65, 0.53; GCA_900317425.1, s__CAG-83 sp900317425, 95.0, 81.36, 0.5; GCA_003539495.1, s__CAG-83 sp003539495, 95.0, 81.17, 0.51; GCA_000435555.1, s__CAG-83 sp000435555, 95.0, 80.83, 0.46; GCA_002438575.1, s__CAG-83 sp002438575, 95.0, 80.79, 0.36; GCA_900313295.1, s__CAG-83 sp900313295, 95.0, 80.23, 0.41; GCA_002392625.1, s__CAG-83 sp002392625, 95.0, 80.13, 0.42"	78.25	11	N/A	N/A
ERR260138_bin.26.p	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	GCA_000435055.1	95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	98.75	0.95	GCA_000435055.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__PeH17 sp000435055	98.75	0.95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	89.31	11	N/A	N/A
